0,:,[1,1,1,1],=,15
1,:,[0,0,0,0],=,0
2,:,[1,0,0,0],=,8
3,:,[0,1,0,0],=,4
4,:,[1,0,0,0],=,8
5,:,[0,1,0,0],=,4
6,:,[1,1,0,0],=,12
7,:,[0,0,1,0],=,2
8,:,[1,0,0,0],=,8
9,:,[0,1,0,0],=,4
10,:,[1,1,0,0],=,12
11,:,[0,0,1,0],=,2
12,:,[1,1,0,0],=,12
13,:,[0,0,0,1],=,1
14,:,[1,0,1,0],=,10
15,:,[0,1,0,0],=,4
16,:,[1,0,0,0],=,8
17,:,[0,0,0,1],=,1
18,:,[1,1,0,0],=,12
19,:,[0,0,0,0],=,0
20,:,[1,1,0,0],=,12
21,:,[0,1,1,0],=,6
22,:,[1,0,1,0],=,10
23,:,[0,0,0,0],=,0
24,:,[1,1,0,0],=,12
25,:,[0,1,0,0],=,4
26,:,[1,0,0,1],=,9
27,:,[0,1,0,0],=,4
28,:,[1,0,1,0],=,10
29,:,[0,0,0,0],=,0
30,:,[1,1,0,0],=,12
31,:,[0,0,0,0],=,0
32,:,[1,0,0,0],=,8
33,:,[0,1,1,0],=,6
34,:,[1,0,0,1],=,9
35,:,[0,1,1,0],=,6
36,:,[1,1,0,0],=,12
37,:,[0,0,0,0],=,0
38,:,[1,0,0,0],=,8
39,:,[0,1,0,1],=,5
40,:,[1,1,0,0],=,12
41,:,[0,0,0,0],=,0
42,:,[1,1,1,0],=,14
43,:,[0,0,0,0],=,0
44,:,[1,0,1,0],=,10
45,:,[0,1,0,0],=,4
46,:,[1,0,0,0],=,8
47,:,[0,0,0,0],=,0
48,:,[1,1,0,0],=,12
49,:,[0,0,1,0],=,2
50,:,[1,1,0,0],=,12
51,:,[0,1,0,1],=,5
52,:,[1,0,0,1],=,9
53,:,[0,0,0,0],=,0
54,:,[1,1,0,0],=,12
55,:,[0,1,1,0],=,6
56,:,[1,0,1,0],=,10
57,:,[0,1,0,0],=,4
58,:,[1,0,0,0],=,8
59,:,[0,0,0,0],=,0
60,:,[1,1,0,0],=,12
61,:,[0,0,0,0],=,0
62,:,[1,0,0,0],=,8
63,:,[0,1,1,0],=,6
64,:,[1,0,0,0],=,8
65,:,[0,1,0,1],=,5
66,:,[1,1,1,0],=,14
67,:,[0,0,0,0],=,0
68,:,[1,0,0,1],=,9
69,:,[0,1,0,0],=,4
70,:,[1,1,1,0],=,14
71,:,[0,0,0,0],=,0
72,:,[1,1,0,0],=,12
73,:,[0,0,0,0],=,0
74,:,[1,0,0,0],=,8
75,:,[0,1,0,0],=,4
76,:,[1,0,0,0],=,8
77,:,[0,0,1,0],=,2
78,:,[1,1,0,1],=,13
79,:,[0,0,0,0],=,0
80,:,[1,1,0,0],=,12
81,:,[0,1,0,0],=,4
82,:,[1,0,0,0],=,8
83,:,[0,0,0,0],=,0
84,:,[1,1,1,0],=,14
85,:,[0,1,0,1],=,5
86,:,[1,0,0,0],=,8
87,:,[0,1,0,0],=,4
88,:,[1,0,1,0],=,10
89,:,[0,0,0,0],=,0
90,:,[1,1,0,0],=,12
91,:,[0,0,1,1],=,3
92,:,[1,0,0,0],=,8
93,:,[0,1,0,0],=,4
94,:,[1,0,0,0],=,8
95,:,[0,1,0,0],=,4
96,:,[1,1,0,0],=,12
97,:,[0,0,0,0],=,0
98,:,[1,0,1,0],=,10
99,:,[0,1,1,0],=,6
100,:,[1,1,0,0],=,12
